Energy(eV);Delta;Beta
15593.5713;3.00134479E-06;1.38755252E-09
15700.2207;2.96066764E-06;1.35496225E-09
15807.5996;2.9205421E-06;1.32328126E-09
15915.7129;2.88096066E-06;1.29248257E-09
16024.5645;2.84191606E-06;1.26254229E-09
16134.1631;2.80340123E-06;1.23343269E-09
16244.5088;2.76540914E-06;1.20513188E-09
16355.6104;2.72793181E-06;1.17761412E-09
16467.4727;2.69096245E-06;1.15085397E-09
16580.0977;2.65449466E-06;1.12483711E-09
16693.4922;2.61852301E-06;1.09953946E-09
16807.6641;2.58303817E-06;1.07494069E-09
16922.6191;2.54803376E-06;1.05102171E-09
17038.3574;2.51350457E-06;1.02776287E-09
17154.8887;2.47944354E-06;1.00514363E-09
17272.2148;2.44584544E-06;9.83145565E-10
17390.3457;2.41270254E-06;9.61750346E-10
17509.2832;2.38000848E-06;9.40953204E-10
17629.0352;2.34775734E-06;9.20724497E-10
17749.6055;2.31594481E-06;9.01046515E-10
17871.;2.28456383E-06;8.81903883E-10
17993.2246;2.25360805E-06;8.63285665E-10
18116.2871;2.22307131E-06;8.45180204E-10
18240.1914;2.19294839E-06;8.27565128E-10
18364.9414;2.16323383E-06;8.10431777E-10
18490.543;2.13392241E-06;7.93762112E-10
18617.0059;2.10500866E-06;7.7754575E-10
18744.334;2.07648714E-06;7.61767704E-10
18872.5312;2.04835214E-06;7.46415707E-10
19001.6074;2.02059823E-06;7.31481875E-10
19131.5645;1.99322062E-06;7.16946613E-10
19262.4102;1.96621522E-06;7.02808256E-10
19394.1543;1.93957521E-06;6.89045376E-10
19526.7969;1.9132965E-06;6.75655643E-10
19660.3457;1.8873742E-06;6.62625455E-10
19794.8086;1.86180307E-06;6.50147824E-10
19930.1914;1.83657801E-06;6.38789355E-10
20066.5;1.81169491E-06;6.27606744E-10
20203.7402;1.7871514E-06;6.15579365E-10
20341.9199;1.76294031E-06;6.03691708E-10
20481.0449;1.73905664E-06;5.92121741E-10
20621.123;1.71549573E-06;5.8085925E-10
20762.1562;1.69225439E-06;5.69895298E-10
20904.1562;1.66932773E-06;5.59225832E-10
21047.125;1.64671201E-06;5.48835477E-10
21191.0723;1.62440335E-06;5.38720679E-10
21336.0039;1.60239733E-06;5.28869892E-10
21481.9277;1.58068917E-06;5.1927701E-10
21628.8496;1.55927512E-06;5.09935094E-10
21776.7754;1.53815131E-06;5.00833375E-10
21925.7148;1.51731365E-06;4.91969521E-10
22075.6699;1.49675839E-06;4.83332097E-10
22226.6543;1.47648188E-06;4.74918049E-10
22378.668;1.45648085E-06;4.6671883E-10
22531.7227;1.43675061E-06;4.58728333E-10
22685.8262;1.41728731E-06;4.50941812E-10
22840.9805;1.39808799E-06;4.43350523E-10
22997.1953;1.3791489E-06;4.35952746E-10
23154.4824;1.36046594E-06;4.287391E-10
23312.8418;1.34203719E-06;4.21707058E-10
23472.2871;1.32385799E-06;4.14849682E-10
23632.8203;1.30592514E-06;4.08161893E-10
23794.4531;1.28823422E-06;4.01639805E-10
23957.1895;1.27078317E-06;3.95276645E-10
24121.041;1.25356917E-06;3.89070914E-10
